Month,Hashtag,Mention,Website
1,#Mining,ynovak,https://medium.com
2,#KCS,kucoincom,https://coinmarketcap.com
3,#ETH,BigCheds,https://www.youtube.com
4,#ETH,kraljulien,https://www.ledgerwallet.com
5,#crypto,tr_ticker,https://vaultmex.com
6,#fintech,Shitcoinkings,None
7,#nicohou,Hoshi_KN,https://www.luno.com
8,#Hempcoin,AlnAndr,https://blockchair.com
9,#fintech,Shitcoinkings,http://solebtc.com
10,#Hempcoin,DogeOfDogeSt,http://RDPMain.com
11,#UHUB,ederhmaia,https://stocktwits.com
12,#Mining,ynovak,http://www.meetup.com
